A|art.|un|
EXUBERANT|adj.|exuberant (-ie), superabundant|
EXUDE|v.|exsudar|
EXULT|v.|exultar, jubilar|
EYE|v.|guatar, observar|
EYE|n.|ocul|
EYE-WITNESS|n.|testimon oculari|
EYEBROW|n.|brove|
EYELASH|n.|cilie|
EYELET|n.|oculette|
EYELID|n.|palpebre|
EYESIGHT|n.|visivitá|
EYRIE|n.|áquil-nest|
FABLE|n.|fabul (-ist, -osi), saga, legende|
FABRIC|n.|edificie, structural (cloth.) stoff, materie, textage|
FABRICATE|v.|fabricar, inventer|
FACADE|n.|fassade|
FACE|n.|facie (-al), visage; (of clock) disco; (of coins etc.) averse; (surface) superficie|
FACE|v.|frontar|
FACE TO FACE|adj. adv.|vis-a-vis, contra|XXX FIXME -- "contra" is preposition
FACET|n.|facette|
FACETIOUS|adj.|jocosi|
FACILE|adj.|facil (-itá)|
FACSIMILE|n.|facsimile|
FACT|n.|facte|
FACTION|n.|partise, clique|
FACTITIOUS|adj.|artificial, fals|
FACTOR|n.|factor, agente|
FACTORY|n.|fabrica, usina|
FACULTATIVE|adj.|facultativ|
FACULTY|n.|talent, capabilitá; (univ.) facultá|
FAD|n.|marotte, dadá|
FADE|v.|marcir, pallidar, evanescer|
FAECES|n.|fecallia, excrement|
FAG|n.|servitor; strapacie|
FAG|v.|fatigar|
FAGGOT|n.|fasce, fagotte|
FAIENCE|n.|fayance|
FAIL|v.|dessuccesser; (business or examination) fallir, bancrottar; (grow weak) debilijar; (be wanting) mancar; (a person) decepter|
FAILING|n.|manca, delicte, culpa|
FAILURE|n.|bancrotte, dessuccesse, defecte; cessation, falliment|
FAINT|adj.|debil, pallid|
FAINT|v.|evanescer (-ement)|
FAINT-HEARTED|adj.|pusilanim, timid, decorageosi|
FAIR|n.|ferie|
FAIR|adj.|bell, pretti; blond; honest, ínpartial, just, "fair"; seren|
FAIR-COPY|n.|nettage|
FAIRLY|adv.|honestmen, justmen; (enough) sat, passabilmen, alquant|
FAIRY|adj.|feeric|
FAIRY|n.|fea, silf(a), elf|
FAIRY ART|n.|feeríe|
FAIRY TALE|n.|fiaba|
FAITH|n.|fide, crede, confidentic; confession|XXX FIXME -- "confidentic"?
FAITHFUL|adj.|fidel (-itá)|
FAITHLESS|adj.|ínfidel, perfid (-ie)|
FAKE|n.|fraude; (naut.) rul de cordage|
FAKE|v.|falsificar (-ation)|
FALCHION|n.|gladie, sabre|
FALCON|n.|falcon (-ero)|
FALL|n.|cade, cadida|
FALL|v.|cader|
FALL ASLEEP|v.|indormir|
FALL AWAY|v.|deserter|
FALL DUE|v.|(on exchange) scader|
FALL IN|v.|crular, cader in ruinas; (mil.) formar se in ranges, stantar se|
FALL IN LOVE|v.|inamorar se|
FALL OUT|v.|querellar; ocurrer|
FALLACIOUS|adj.|ilusiv, deceptiv, sofistic|
FALLACY|n.|sofisme, fals conclusion, erra|
FALLIBLE|adj.|fallibil (-itá)|
FALLOW|adj.|íncultivat, ínusat, reposant; (colour) falvi|
FALSE|adj.|fals (-itá), fictiv, perfid|
FALSEHOOD|n.|mentie, mentida|
FALSETTO|n.|falsett(e)|
FALSIFY|v.|falsificar (-ation)|
FALTER|v.|chancelar, vacilar; (in speech) hesitar, balbutiar|
FAME|n.|fama (-osi), renomé|
FAMILIAR|adj.|familiari (-tá, -isar)|
FAMILY|n.|familie (-al)|
FAMINE|n.|famine; (fig.) manca|
FAMISH|v.|afamar|
FAN|n.|ventol (-ar); (tech.) ventilator|
FANATIC|adj.|fanatic (-o)|
FANATICISME|n.|fanatisme|
FANCIFUL|adj.|fantastic, capriciosi, imaginari, marottic|
FANCY|v.|imaginar, preferer, presentar se|
FANCY|n.|fantasie, imagination, idé, notion, preferentie, gust|
FANE|n.|temple|
FANFARE|n.|fanfare, tush|
FANG|n.|griffe|
FANTASTIC|adj.|fantastic|
FANTASY|n.|fantasie|
FAR|adj.|lontan, distant|
FAR|adv.|mult|
FAR AFIELD|adv.|in lontanie|
FAR TOO MUCH|adj.|mult tro mult|XXX FIXME -- adj./adv.?
FARCE|n.|farse, buffa, comedie; (cul.) farce|
FARE|n.|nutriment; passagero; precie|
FARE|v.|standar|
FAREWELL|adj.|demissional|
FAREWELL|interj.|adío, til revide!|
FARINA|n.|farine|
FARM|v.|cultivar; (farm out) locar, forluar|
FARM|n.|farme (-ero)|
FARRAGO|n.|mixtura, conglomerate|
FARRIER|n.|huf-forjero; veterinario|
FARTHER|adj.|plu lontan|
FASCINATE|v.|fascinar (-ation), charmar|
FASHION|v.|fassonar|
FASHION|n.|moda; maniere, custom; (cut of garment) fasson|
FASHIONABLE|adj.|secun li moda|
FAST|n.|carema (-ar), abstinentie|
FAST|adj.|rapid, veloci; fix, stabil, firm; (of clock) avansat, tro rapid|
FASTEN|v.|fixar, ligar, serrar; (a dress) agraffar|
FASTIDIOUS|adv.|desfacilmen satisfat|
FAT|adj.|grassi, corpulent|
FAT|n.|grasse|
FATE|n.|fate (-al), destine|
FATHER|v.|geniter; (father upon) atribuer a|
FATHER|n.|patre|
FATHER-IN-LAW|n.|belpatre|
FATHERLESS|adj.|orfan, sin patre|
FATHOM|n.|(naut.) brassade|
FATHOM|v.|sondar; comprender, penetrar|
FATHOMLINE|n.|sonde|
FATIGUE|n.|fatiga (-ar), exhaustion|
FATTEN|v.|ingrassar, far (devenir) grass|
FATUOUS|adj.|fatui (-tá), idiotic, absurd, inept|
FAULT|n.|defecte, manca, erra, culpa|
FAULTY|adj.|ínperfect, defectiv|
FAUNA|n.|fauna, animalité|
FAVOUR|n.|favore (-ar, -abil)|
FAVOURITE|adj.|favorit (-e, -isme), preferet|
FAWN|adj.|cervin|
FAWN|n.|cervello|
FAWN UPON|v.|repter avan, flattachar|
FAWNING|adj.|servil, reptiv|
FAY|n.|fea, nimfa|
FEALTY|n.|fidelitá|
FEAR|v.|timer (-ore, -orosi)|
FEARFUL|adj.|terribil; timid|
FEASIBLE|adj.|possibil, practicabil, efectuabil|
FEAST|v.|festinar, regalar (se)|
FEAST|n.|festine, banquette, regale|
FEAT|n.|(of agility etc.) artificie, habilitá; heroic action|
FEATHER|n.|plum|
FEATHER WEIGHT|n.|(sport) plum-póndere|
FEATHERED|adj.|plumat|
FEATURE|n.|trate, caracteristica|
FEBRUARY|n.|februar|
FECUND|adj.|fecund (-itá), fertil (-itá)|
FEDERAL|adj.|federal (-isme)|
FEDERATE|v.|federar (-ation)|
FEE|n.|honorarie, recompense|
FEEBLE|adj.|debil (-itá, -isar)|
FEED|v.a.|nutrir, alimentar; (eat) manjar; (cattle) forragear|
FEED ON|v.|nutrir se per|
FEEL|v.|sentir; (by touch) palpar, tastar|
FEELER|ent.|antenne|
FEELING|n.|sente, sensation, emotion|
FEIGN|v.|ficter, simular|
FEINT|n.|fiction, simulation, pretexte; tric; (fencing) finte|
FELICITATE|v.|felicitar, gratular|
FELINE|adj.|catin|
FELL|adj.|terribil, cruel|
FELL|v.|abatter, cadentar|
FELLOE|n.|felga|
FELLOW|n.|compane, socio, membre, co-; (individual) chap, homacho|
FELLOW COUNTRYMAN|n.|compatriot|
FELLOWSHIP|n.|membratu; (brotherhood) fraternité|
FELON|n.|criminard, malefator|
FELT|n.|feltre (-in)|
FEMALE|n.|fémina (-in, -initá, -isme); female|
FEMUR|n.|femur (-al)|
FEN|n.|palude, morasse|
FENCE|v.|palissar, inhagar; (sport) escrimar, parar|
FENCE|n.|palissade|
FENCING|n.|(sport) escrime (-ero)|
FEND FOR|v.|provider por, cuidar|
FENDER|n.|para-foy; (naut.) garda-látere|
FENNEL|n.|fenicul|
FERMENT|n.|ferment (-ar, -ation), maichar|
FERN|n.|filice|
FEROCIOUS|adj.|feroci, savagi|
FERRET|n.|furette|
FERRET ABOUT|v.|furettar|
FERRULE|n.|virol|
FERRY|n.|pram|
FERTILE|adj.|fertil, fecund (-itá)|
FERULE|n.|ferul|
FERVENT|adj.|fervent, ardent|
FERVID|adj.|fervid, ardent, avid, passionat|
FERVOUR|n.|fervore, ferventie, zel|
FESTAL|adj.|festal, gay|
FESTER|v.|supurar, ulcerar|
FESTIVAL|n.|festa|
FESTIVE|adj.|festal, festiv|
FESTIVITY|n.|festa, gayita|
FESTOON|n.|feston (-ar)|
FETCH|v.|aportar; (a person) far venir|
FETE|n.|festa (-ar)|
FETID|adj.|fetid, malodorant|
FETISH|n.|fetiche, idol|
FETLOCK|n.|fanon|
FETTER|n.|caten, ferre|
FETTER|v.|ligar, incatenar, impedir|
FEUD|n.|vendetta, querell; (fief) feude (-al, -alisme)|
FEVER|n.|febre (-osi)|
FEW|adj.|poc|
FEZ|n.|fez|
FIANCE|n.|sponso (-a)|
FIANCEE|n.|sponso (-a)|
FIANCÉE|n.|sponso (-a)|
FIASCO|n.|fiasco|
FIAT|n.|decrete|
FIBRE|n.|fibre (-in, -osi)|
FIBULA|n.|fibula|
FICKLE|adj.|ínconstant, capriciosi|
FICTION|n.|(feigning) fiction; (novels) romanes|
FICTITIOUS|adj.|fictiv, fals, inventet|
FIDDLE|n.|violine|
FIDDLE BOW|n.|arc|
FIDDLE STRING|n.|corde|
FIDDLESTICKS|n.|nonsense|
FIDELITY|n.|fidelitá|
FIDGET|v.|esser desquiet, movettar se nervosimen|
FIE|interj.|fi!|XXX FIXME -- homogenize "!" in all interj.
FIELD|n.|agre, prate, camp|
FIELD HOSPITAL|n.|ambulantia|
FIELD-GLASS|n.|binocul|
FIEND|n.|diábol (-ic)|
FIERCE|adj.|furiosi, feroci, violent|
FIERY|adj.|ardent, foyosi, impetuosi|
FIFE|n.|siffluore|
FIFTH|adj.|quinesim
FIFTH|n.|quinesim; (mus.) quinte|
FIG|n.|figue (-iero)|
FIGHT|n.|combatte|
FIGHT|v.|combatter; (with sword) escrimar, gladiar; (with fist) boxar|
FIGMENT|n.|fiction|
FIGURE|v.|calcular|
FIGURE|n.|figura (-ar, -ant), forme, statura; (number) ciffre|
FIGURE OF SPEECH|n.|metáfor, trope
FIGUREHEAD|n.|antefigura; (person) comparse|
FILAMENT|n.|fil, fibre, filament|
FILCH|v.|furter|
FILE|n.|(papers) file; classificator; (mil.) range; (tool) lime|
FILE|v.|classificar; (mech.) limar|
FILIAL|adj.|filial|
FILIBUSTER|v.|obstructer (-or)|
FILIBUSTER|n.|corsaro|
FILIGREE|n.|filigran|
FILINGS|n.|limallia|
FILL|n.|plenitá, satie|
FILL|v.|plenar; (teeth) piumbar|
FILLER|n.|funel|
FILLET|n.|cap-band; (cul.) filé, pisc despinat|
FILLIP|n.|stimul, incitation|
FILLY|n.|cavallella, yun cavalla|
FILM|n.|membrane, pellículi (phot.) film (-actor, -stelle)|
FILTER|n.|filtre (-ar)|
FILTH|n.|sordidage, sordidallia|
FIN|n.|pinne, svimmuore|
FIN-FOOTED|adj.|pinnipedat|
FINAL|adj.|final, ultim|
FINALE|n.|final|XXX FIXME -- "final" -> "finale"
FINANCE|n.|financie (-al, -ero)|
FINCH|n.|pinson|
FIND|n.|trova, trovage|
FIND|v.|trovar; constatar; (supply with) provider|
FIND FAULT|v.|criticar|
FINDING|n.|sententie, verdicte, judicie|
FINE|adj.|bell; (thin) tenui; subtil; (sharp) acut; (delicate) fin, delicat|
FINE|n.|punition pocuhiari, multa, amende|
FINERY|n.|ornamentes|
FINESSE|n.|finesse, astutie, subtilitá; (at cards) finte|
FINGER|v.|palpar|
FINGER|n.|fingre|
FINGER PRINT|n.|fingre-print|
FINGER-POST|n.|pal indicatori, indicator de via|
FINICKING|adj.|tro precisi, afectat|
FINISH|n.|fine|
FINISH|v.a.|finir, terminar; (of stuffs) apretar|
FINISH|v.n.|cessar|
FINITE|adj.|finit, limitat|
FIORD|n.|fiord|
FIR|n.|abiete|
FIRE|v.|incendiar, far foy; (a gun) tirar, dar foy; (heat) calentar|
FIRE|n.|foy; incendie|
FIRE ALARM|n.|foy-alarmaparate|
FIRE BRAND|n.|incendiard, impetuoso|
FIREBRIGADE|n.|incendie-brigade|
FIRECONE|n.|pin-fructa|
FIREESCAPE|n.|salv-aparate|
FIREGUARD|n.|para-foy|
FIREMAN|n.|pumpero, parafoyero; (stoker) calentator, foymann|
FIREPLACE|n.|camine|
FIREWOOD|n.|combustibile|
FIREWORKS|n.|foyes artificial, pirotecnica|
FIRM|adj.|firm, fix, stabil|
FIRM|n.|firma|
FIRMAMENT|n.|firmament|
FIRST|adj.|unesim, prim|
FIRSTLING|n.|primicie|
FIRTH|n.|estuarie, inboccatura|
FISCAL|adj.|fiscal|
FISH|n.|pise (-ar, -ator, -iera)|
FISH HOOK|n.|pisca-croc|
FISHING-LINE|n.|pisc-fil|
FISHING-LINEROD|n.|canne a piscar|
FISHMONGER|n.|pisc-venditor, piscero|
FISISHED|adj.|(refined) rafinat|
FISSION|n.|fission|
FISSURE|n.|fissura, fensura|
FIST|n.|punie|
FISTULA|n.|fistul|
FIT|n.|humor, capricie; (med.) accesse, convulsion, paroxisme|
FIT|v.|adaptar, ajustar, acomodar; (fit up, fit out) equipar, provider, installar, monter; (a suit) ad-mesurar|
FIT|adj.|apt, bon, util; decent; in bon statu; san|
FITTER|n.|montero|
FITTING|adj.|convenent|
FITTINGS|n.|accessories|
FIVE|adj., n.|quin|
FIX|n.|dilemma|
FIX|v.|fixar, regular, ligar|
FIXTURE|n.|arangeament; (property) imobilie|
FIZZ|v.|sibilar|
FLABBERGAST|v.|consternar, astonar|
FLABBY|adj.|moll, lax|
FLACCID|adj.|debil, marcid|
FLAG|v.|debilijar, languir|
FLAG|n.|flagga, standarte, baniere; (stone) strad-petre|
FLAGELLATE|v.|flagellar (-ation)|
FLAGON|n.|flacon|
FLAGRANT|adj.|flagrant, notori|
FLAIL|n.|drachuore|
FLAKE|v.|exfoliar|
FLAKE|n.|flocc; (metal) lámine|
FLAMBEAU|n.|torche|
FLAMBOYANT|adj.|florid, flammeant|
FLAME|v.|flammar|
FLAME|n.|flamme; ardore|
FLAME THROWER|n.|lansa-flamme|
FLAMINGO|n.|flamingo|
FLANGE|n.|flange|
FLANK|n.|flanca (-ar), látere|
FLANNEL|n.|flanelle|
FLAP|v.|clappar; frappar, batter|
FLAP|n.|clappe; (of wing) batte|
FLARE|n.|torche|
FLARE|v.|flammear, flagrar|
FLARE UP|v.|(fig.) incolerar se|
FLASH|n.|scintille, fúlmine|
FLASH|v.|lucer, fulminar, eclatar|
FLASK|n.|botelle, flacon|
FLAT|adj.|plan, plat; (of voice) fals; (of taste) fad, ínsipid|
FLAT|adv.|francmen|
FLAT|n.|apartament; etage; (mus.) bemoll; (naut.) bassfunde|
FLAT-FOOT|n.|platpede|
FLAT-IRON|n.|glattuore|
FLATLY|adv.|francmen|
FLATTEN|v.|aplatar, aplanar; aplastar|
FLATTER|v.|flattar (-osi, -ant)|
FLATULENCE|n.|flatu (-ent, -entie, -osi), gas intestinal; fatuitá, vanitá|
FLAUNT|v.|paradar, ostentar|
FLAVOUR|v.|spicear|
FLAVOUR|n.|sapore, gust, aroma|
FLAW|n.|defecte; (crack) fensura|
FLAX|n.|lin (-atri)|
FLAY|v.|depellar, excoriar; torturar|
FLEA|n.|pulce|
FLEDGED|adj.|volativ, vola-capabil; plumat|
FLEDGELING|n.|avielle|
FLEE|v.|fugir (-itor, -ida), forcurrer|
FLEECE|v.|tonder; (cheat) fraudar|
FLEECE|n.|lane, lan-pelle|
FLEET|adj.|rapid, agil|
FLEET|n.|flotte|
FLEETING|adj.|fugitiv, efemeri|
FLESH|n.|carne (-al, -ivori, -osi)|
FLEXIBLE|adj.|flexibil (-itá)|
FLICK|n.|tappa|
FLICKER|v.|flamettar, movettar se|
FLIGHT|n.|vola(da); (fleeing) fugida; (flock) volade|
FLIGHTY|adj.|frivol, de levi anim, ínconstant|
FLIMSY|adj.|ínsubstantial, tenui|
FLINCH|v.|(retro)ceder|
FLING|v.|jettar, lansar; (of horses) regambar|
FLINT|n.|silice (-osi)|
FLIPPANT|adj.|temerari, frivoli, ínseriosi|
FLIRT|n.|coquetto (-a), flirt|
FLIRT|v.|coquettar, amorettar; flirtar|
FLIT|v.|translocar; (of birds) glissar, volettar (a ci e ta)|
FLOAT|n.|flottuore; (angler's) flottette, svimmuore|
FLOAT|v.|flottar; (hover) planear|
FLOCK|v.|amassar se, gregar se|
FLOCK|wool etc.|flocc|
FLOCK|n.|greg, truppe, gruppe|
FLOE|n.|camp de glacie|
FLOG|v.|flagellar (-ation), knutar, castigar|
FLOOD|n.|torrent, flut, diluvie|
FLOOD|v.|inundar (-ation)|
FLOOR|n.|suol, planc-suol; (storey) etage|
FLORA|n.|(bot.) flora|
FLORAL|adj.|floral|
FLORET|n.|florette|
FLORID|adj.|tro ornat, ostentativ|
FLORIST|n.|florist|
FLOSS|n.|lane de semes, lanuge|
FLOSS-SILK|n.|filoselle|
FLOSSY|adj.|silkin|
FLOTILLA|n.|flottille|
FLOTSAM|n.|flottallia, vrecallia|
FLOUNCE|v.|precipitar se|
FLOUNDER|n.|(fish) pleuronecte|
FLOUNDER|v.|gambear, chancelar|
FLOUR|n.|farine|
FLOURISH|n.|(in writing) floscul, arabesca; fanfare; volut|
FLOURISH|v.|florear, prosperar; (a weapon) brandisser|
FLOUT|v.|mocar, derider|
FLOW|n.|currente, flution|
FLOW|v.|fluer|
FLOWER|v.|florar, florescer|
FLOWER|n.|flor|
FLOWER BED|n.|flor-bed|
FLUCTUATE|v.|fluctuar (-ation), variar|
FLUE|n.|fum-tube|
FLUENT|adj.|fluent (-ie)|
FLUFF|n.|lanuge, flocc|
FLUID|n.|fluide, liquide|
FLUID|adj.|fluid, liquid (-itá)|
FLUKE|n.|hasarde; (fish) pleuronecte|
FLUNKEY|n.|lacayo, leccard, adulator; servitor in livré|
FLUORESCENT|adj.|fluorescent|
FLUORSPAR|n.|fluor|
FLURRIED|adj.|anxiosi, confuset|
FLURRY|v.|confuser, agitar|
FLUSH|n.|ruble, rubiation|
FLUSH|v.|rubijar; (flush out) rinsar|
FLUSTER|v.|agitar|
FLUTE|n.|flaute; (arch.) cannel; (of anchor) pattes del ancre|
FLUTTER|n.|ínquietesse|
FLUTTER|v.|(birds) volettar; (of heart) palpitar; (flags) far flirtar|
FLUVIAL|adj.|fluvial|
FLUX|n.|fluentie; (soldering) medie a suldar, suldage|
FLY|n.|(insect) mosca|
FLY|v.|volar; (in aeroplane) aviar; (fig.) hastar; (flag) far flirtar|
FLYING BUTTRESS|n.|suporte arcat|
FOAL|n.|cavallello|
FOAM|n.|scum (-ar)|
FOCUS|n.|foco (-al)|
FODDER|n.|forrage|
FOE|n.|ínamico, adversario|XXX FIXME -- ínamíco
FOETUS|n.|feto|
FOG|adj.|(spess) nebul (-osi, -ositá)|
FOGHORN|n.|sirene|
FOGSIGNAL|n.|nebul-petarde|
FOIBLE|n.|capricie, debilesse|
FOIL|n.|florete, rapiere; (metal) folie|
FOIL|v.|frustrar, vanificar|
FOIST UPON|v.|obtruder|
FOLD|v.|plicar; (hands) junter; (sheep) inhagar, incorralar|
FOLD|n.|plica; (sheep) corrale, hagatura|
FOLDING|adj.|plicabil|
FOLIAGE|n.|foliage|
FOLIO|n.|folio, págine|
FOLK|n.|gente; (a people) popul, nation|
FOLKLORE|n.|folklore|
FOLLOW|v.|sequer; succeDer; obedir|
FOLLOWER|n.|adherente, partisan, adepte; successor|
FOLLY|n.|follie, stultie, stultesse|
FOMENT|v.|fomentar (-ation), incitar|
FOND|adj.|tendri, indulgent, afectionat|
FONDLE|v.|caressar|
FONT|n.|cuve baptismal|
FOOD|n.|manjage, nutriment, aliment; (animals) forrage, vorage|
FOOD-STUFFS|n.|nutritives, victuales|
FOOL|n.|folio, idiote, stulton|
FOOL|v.|decepter, dupar|
FOOLHARDY|adj.|temerari|
FOOLISH|adj.|folli, stupid|
FOOT|n.|pede; base|
FOOT|v.|ear a pede, pedear, vader|
FOOTBALL|n.|futballe|
FOOTMAN|n.|lacayo|
FOOTMARK|n.|ped-tracie|
FOOTNOTE|n.|ped-note|
FOOTPASSENGER|n.|pedon, pedeator|
FOOTPATH|n.|ped-via, viette, trottuore|
FOOTPRINT|n.|ped-tracie, vestigie|
FOOTSTEP|n.|passu|
FOP|adj.|dandy, fatuo|
FOPPISH|adj.|afectat, dandyatri|
FOR|prep.|por; (because) pro que; (during) durante; (in exchange for) por, contra; (in spite of) malgre; (on account of) pro; (on behalf of) por; (towards) a|
FOR A WHILE|adv.|durante quelc témpor|
FOR AYE|adv.|por sempre|
FOR EVER|adv.|por sempre|
FOR GOOD|adv.|por sempre|
FOR MY PART|adv.|quo concerne me|
FOR THE MOST PART|adv.|in general, max sovente|
FOR THE PRESENT|adv.|ínterim|
FOR THE SAKE OF|prep.|pro, por, pro egarde a|
FORAGE|v.|serchar forrage|
FORAGE|n.|forrage|
FORAY|n.|razzia, raubatori excurse|
FORBEAR|n.|(forebear) preavo|
FORBEAR|v.|abstener se de|
FORBID|v.|interdicter, prohibir|
FORBIDDING|adj.|repugnant, repulsiv|
FORCE|v.|fortiar, violar; obligar; (to force upon) obtruder|
FORCE|n.|fortie, vigore, violentie; (might) potentie|
FORCEPS|n.|forcepse|
FORCIBLE|adj.|fort, fortiosi, violent|
FORD|n.|vada (-ar)|
FORE|prefix|pre-|
FOREARM|n.|avan-brasse|
FOREBODE|v.|pre-indicar, presentir (-iment), predir|
FORECAST|v.|predir, previder, augurar, prognosticar|
FOREFATHERS|n.pl.|preavos|
FOREFINGER|n.|fingre indicatori, index-fingre|
FOREFRONT|n.|avan-fronte|
FOREGO|v.|renunciar; preceder|
FOREGOING|adj.|precedent|
FOREGROUND|n.|avanplan|
FOREHEAD|n.|fronte|
FOREIGN|adj.|foren, extran; strangi; (bot.) exotic|
FOREIGNER|n.|extrano, foreno|
FORELAND|n.|promontorie|
FORELOCK|n.|front-bucle|
FOREMAN|n.|suprastante, chef-ovrero|
FOREMAST|n.|foc-mast|
FOREMOST|adj.|prim, chef, plu avansat|
FORENOON|n.|premidí, antemidí|
FORENSIC|adj.|judiciari|
FORERUNNER|n.|precursor, pionero; ómine|
FORESAIL|n.|foc(segle)|
FORESEE|v.|previder|
FORESHADOW|v.|pre-indicar, presignar|
FORESHORE|n.|rive (intermareal)|
FORESHORTEN|v.|dessinar in perspective, perspectivisar|
FORESIGHT|n.|prevision, previdentie|
FORESKIN|n.|prepucio|
FOREST|n.|forest (-ero), silva (-in)|
FORESTALL|v.|prevenir, anticipar|
FORESTRY|n.|forest-cultura|
FORETASTE|n.|antegust|
FORETELL|v.|predir|
FORETHOUGHT|n.|premeditation, previdentie|
FOREVER|adv.|por sempre|
FOREWARN|v.|advertir|
FOREWORD|n.|anteparol, preparol|
FORFEIT|adj.|rendiend, a rendir|
FORFEIT|n.|perde, punition meritet|
FORFEIT|v.|(lose) perdir|
FORGE|v.|forjar (-ero, -ería); (commit forgery) contrafar, falsar; imitar|
FORGERY|n.|contrafation|
FORGET|v.|obliviar (-aci)|
FORGET-ME-NOT|n.|miosótis|
FORGIVE|v.|pardonar, excusar|
FORK|v.|bifurcar, fender se; ramificar|
FORK|n.|furca (-at)|
FORKED LIGHTNING|n.|zigzag de fulmine|
FORLORN|adj.|abandonat, sin auxilie, solitari|
FORM|v.|formar (se)|
FORM|n.|forme, figura; fasson; (bench) banca; classe; (schedule) formul|
FORMAL|adj.|formal (-isme, -ist, -itá)|
FORMAT|n.|formate|
FORMER|adj.|precedent, anteyan, passat|
FORMERLY|adv.|antey|
FORMIDABLE|adj.|formidabil, timend, terribil|
FORMULA|n.|formul (-ar)|
FORNICATE|v.|fornicar (-ation)|
FORSAKE|v.|abandonar, forlassar, renunciar|
FORSOOTH|adv.|vermen, advere|
FORSWEAR|v.|abjurar, renegar; (oneself) jurar falsmen, perjurar se|
FORT|n.|forteresse|
FORTE|n.|fort látere (de un person)|
FORTH|prep.|ex, fro|
FORTH|adv., prep.|for|
FORTHWITH|adv.|strax|
FORTIFY|v.|fortificar (-ation), infortiar, consolidar|
FORTNIGHT|n.|du semanes, deciquar dies|
FORTRESS|n.|forteresse|
FORTUITOUS|adj.|accidental, hasardal, casual|
FORTUNATE|adj.|fortunat, felici|
FORTUNE|n.|fortun; felicitá; (luck) hasarde, chance|
FORTUNETELLER|n.|divinator, chiromante (-a)|
FORTY|n.|quaranti|
FORUM|n.|forum|
FORWARD|adj.|avansat, tosti, parat; impertinent, obtrusiv|
FORWARD|adv.|adavan|
FORWARD|v.|promoer, accelerar, expedir, inviar, transmisser|
FOSSE|n.|fosse, tranché|
FOSSIL|adj.|fossil (-e, -isar, -iferi)|
FOSSILIZE|v.|petrificar (se), fossilisar|
FOSTER|v.|nutrir; cuidar, elevar|
FOSTER|adj.|adoptiv|
FOUL|adj.|sordid, inpur, fetid, abominabil, desbell, mal|
FOUL|v.|sordidar; (become entangled) implicar se|
FOUL PLAY|n.|perfidie|
FOULARD|n.|fularde|
FOUND|v.|fundar, instituer, etablisser; (smelt) fonder|
FOUNDATION|n.|fundation; (basis) fundament|
FOUNDER|n.|fundator; (smelter) fondero|
FOUNDER|v.|afundar|
FOUNDLING|n.|infante trovat, trovate|
FOUNDRY|n.|fondería, fusería|
FOUNT|n.|fonte; (typ.) fonde|
FOUNTAIN|n.|fontane|
FOUNTAIN-PEN|n.|fontan-plum|
FOUR|v.|quar|
FOURFOLD|adj., n.|quadriplic|
FOURTEEN|adj., n.|deciquar|
FOWL|n.|avie; (domestic) gállin|
FOWLER|n.|avie-captor, avie-fusilator|
FOX|n.|fox|
FOXGLOVE|n.|digitale|
FOXTROT|n.|foxtrott|
FOXY|adj.|astut, foxatri|
FRACAS|n.|fracass, rixe|
FRACTION|n.|fragment, fractura; (arith.) fraction (-al)|
FRACTIOUS|adj.|iritabil, contrari, obstinat|
FRACTURE|med.|oss-fractura; ruptura|
FRACTURE|v.|fracter, rupter|
FRAGILE|adj.|fragil, fractibil, delicat|
FRAGMENT|n.|fragment (-ari)|
FRAGRANCE|n.|parfum, aroma (-tic)|
FRAIL|adj.|debil, infirm (-itá), fragil|
FRAME|n.|cadre, squelette, córpore; (of mind) statu|
FRAME|v.|formar, formular; (picture) incadrar|
FRAMEWORK|n.|frame|
FRANCHISE|n.|jure de votation, sufragie, jure civil|
FRANK|adj.|franc, sinceri, candid; (letters) afrancar|
FRANKINCENSE|n.|incense|
FRANTIC|adj.|frenetic, furiosi, rabiat|
FRATERNAL|adj.|fraternal, fratrin|
FRATERNITY|n.|fraternitá; (society) fraternité|
FRATERNIZE|v.|fraternisar (-ation)|
FRAUD|n.|fraude, dupada, deception|
FRAUDULENT|adj.|fraudatori|
FRAUGHT WITH|prep.|chargeat per|
FRAY|v.|fricter, forfricter|
FRAY|n.|conflicte, combatte|
FREAK|n.|singularitá, monstruositá; (whim) marotte|
FRECKLE|n.|lentige|
FREE|v.|liberar|
FREE|adj.|líber; gratuit; franc|
FREE FROM BIAS|adj.|ínpartial|
FREE OF TAX|adj.|exempt de tribute|
FREEBOOTER|n.|marodero|
FREEDOM|n.|libertá; (of city) borgesie|
FREEHOLD|n.|líber possedage|
FREEMASON|n.|franc-masson|
FREETHINKER|n.|liberpensante|
FREEZE|v.|gelar, glaciar se; (feel cold) friger|
FREIGHT|n.|frete, porte; (load) cargo|
FRENCH BEAN|n.|faseol|
FRENZY|n.|frenesie (-tic), rabie|
FREQUENT|adj.|frequent (-ie, -ar), sovente|
FRESCO|n.|fresco|
FRESH|adj.|frisc (-ore), pur, recent; (another) altri; (not salt) ne salat|
FRESH WATER|n.|dulci aqua, aqua|
FRESHEN|v.|refriscar|
FRET|v.|(worry) chagrinar; consumar se; (rub) fricter|
FRETSAW|n.|ret-sega|
FRETWORK|n.|ret-segada|
FRIABLE|adj.|friabil|
FRIAR|n.|mónaco|
FRICASSEE|n.|fricassé|
